Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2019-12-26 00:00:00-05:00,8.390000343322754,8.460000038146973,8.359999656677246,8.40999984741211,84700,0,0,0.005980884304813028,1.047322556298556,,,,8.394999742507935,,,,8.430000305175781
2019-12-27 00:00:00-05:00,8.470000267028809,8.5,8.270000457763672,8.289999961853027,102900,0,0,-0.014268714356280077,1.0323786099038428,,,,8.485000133514404,,,,8.609999656677246
2019-12-30 00:00:00-05:00,8.319999694824219,8.609999656677246,8.229999542236328,8.390000343322754,162700,0,0,0.012062772247271925,1.044831957948068,,,,8.485000133514404,,,,8.5
2019-12-31 00:00:00-05:00,8.350000381469727,8.670000076293945,8.3100004196167,8.579999923706055,200500,0,0,0.02264595621077814,1.0684931767153816,,,,8.485000133514404,,,,8.479999542236328
2020-01-02 00:00:00-05:00,8.649999618530273,8.760000228881836,8.260000228881836,8.369999885559082,160400,0,0,-0.024475529139196706,1.0423412408336514,,,,8.485000133514404,,,,8.779999732971191
2020-01-03 00:00:00-05:00,8.300000190734863,8.510000228881836,8.210000038146973,8.449999809265137,230300,0,0,0.009557936057332572,1.05230387176346,,,,8.46500015258789,,,,8.949999809265137
2020-01-06 00:00:00-05:00,8.329999923706055,8.380000114440918,8.180000305175781,8.25,156300,0,0,-0.023668617015333404,1.0273972944389382,,,,8.46500015258789,,,,8.9399995803833
2020-01-07 00:00:00-05:00,8.270000457763672,8.270000457763672,8.039999961853027,8.050000190734863,118800,0,0,-0.024242401123046875,1.0024907171144164,,,,8.400000095367432,,,,8.979999542236328
2020-01-08 00:00:00-05:00,8.100000381469727,8.350000381469727,8.100000381469727,8.260000228881836,79800,0,0,0.02608696064239502,1.0286426529961465,8.370999956130982,8.754811419594667,7.987188492667296,8.400000095367432,,,,9.239999771118164
2020-01-09 00:00:00-05:00,8.380000114440918,8.399999618530273,8.180000305175781,8.319999694824219,118800,0,0,0.00726385766099491,1.0361145668115388,8.385499954223633,8.736891627746703,8.034108280700563,8.400000095367432,,,,9.210000038146973
2020-01-10 00:00:00-05:00,8.350000381469727,8.460000038146973,8.199999809265137,8.34000015258789,124400,0,0,0.0024039012616927646,1.0386052839259554,8.397999954223632,8.72297323549162,8.073026672955644,8.400000095367432,,,,9.010000228881836
2020-01-13 00:00:00-05:00,8.329999923706055,8.550000190734863,8.300000190734863,8.510000228881836,134100,0,0,0.020383701820580136,1.059775904342781,8.413999986648559,8.727625782144994,8.100374191152124,8.400000095367432,,,,8.989999771118164
2020-01-14 00:00:00-05:00,8.449999809265137,9.039999961853027,8.399999618530273,8.9399995803833,1412900,0,0,0.05052871209592946,1.1133250158995207,8.428999948501588,8.807239446504907,8.050760450498268,8.539999961853027,,,,8.6899995803833
2020-01-15 00:00:00-05:00,9.100000381469728,9.550000190734863,8.890000343322754,8.949999809265137,698700,0,0,0.0011185938871607348,1.114570374456729,8.45049991607666,8.891412623563994,8.009587208589327,8.795000076293945,,,,8.470000267028809
2020-01-16 00:00:00-05:00,9.09000015258789,9.289999961853027,9.0600004196167,9.1899995803833,271500,0,0,0.026815617456182883,1.1444582672461552,8.484999895095825,9.03241634567096,7.93758344452069,8.795000076293945,8.745000123977661,,,8.25
2020-01-17 00:00:00-05:00,9.270000457763672,9.3100004196167,9.079999923706056,9.15999984741211,230600,0,0,-0.003264388938083118,1.1407223103384592,8.505999898910522,9.119886424861502,7.892113372959543,8.795000076293945,8.75,,,8.210000038146973
2020-01-21 00:00:00-05:00,9.239999771118164,9.239999771118164,8.859999656677246,8.890000343322754,212700,0,0,-0.029475928885046465,1.1070984606413368,8.519499921798706,9.154563816119357,7.884436027478056,8.825000286102295,8.759999990463257,,,7.889999866485596
2020-01-22 00:00:00-05:00,8.930000305175781,8.989999771118164,8.670000076293945,8.970000267028809,209900,0,0,0.008998866211084255,1.1170610915711454,8.551999950408936,9.2092838669399,7.894716033877971,8.865000247955322,8.759999990463257,,,7.389999866485596
2020-01-23 00:00:00-05:00,8.949999809265137,8.989999771118164,8.770000457763672,8.949999809265137,146900,0,0,-0.0022297053699305014,1.1145703744567288,8.58149995803833,9.254609979082806,7.908389936993855,8.875,8.795000076293945,,,7.150000095367432
2020-01-24 00:00:00-05:00,8.989999771118164,9.029999732971191,8.600000381469727,8.859999656677246,247600,0,0,-0.0100558831850166,1.1033623849697116,8.60649995803833,9.282008707853908,7.930991208222754,8.925000190734863,8.795000076293945,,,7.21999979019165
2020-01-27 00:00:00-05:00,8.630000114440918,8.779999732971191,8.4399995803833,8.6899995803833,181200,0,0,-0.01918736827103895,1.082191764552886,8.62049994468689,9.290665740115733,7.950334149258046,8.974999904632568,8.795000076293945,,,7.46999979019165
2020-01-28 00:00:00-05:00,8.710000038146973,8.920000076293945,8.640000343322754,8.829999923706055,135100,0,0,0.016110512092404328,1.0996264280620156,8.647499942779541,9.305499343660117,7.989500541898966,8.994999885559082,8.795000076293945,,,7.110000133514404
2020-01-29 00:00:00-05:00,8.859999656677246,8.930000305175781,8.699999809265137,8.739999771118164,79700,0,0,-0.010192542850002262,1.0884184385749986,8.66499991416931,9.31311132300537,8.016888505333252,8.875,8.795000076293945,,,7.130000114440918
2020-01-30 00:00:00-05:00,8.680000305175781,8.739999771118164,8.5,8.609999656677246,147800,0,0,-0.014874155359878904,1.0722291336230774,8.666499900817872,9.313948825571241,8.019050976064502,8.875,8.795000076293945,,,6.150000095367432
2020-01-31 00:00:00-05:00,8.569999694824219,8.59000015258789,8.210000038146973,8.399999618530273,185000,0,0,-0.024390249305540124,1.0460771977413472,8.667999887466431,9.312799127680949,8.023200647251914,8.724999904632568,8.795000076293945,,,7.46999979019165
2020-02-03 00:00:00-05:00,8.40999984741211,8.5,8.210000038146973,8.300000190734863,209000,0,0,-0.01190469432579655,1.0336239684610506,8.660499906539917,9.318763532220007,8.002236280859826,8.619999885559082,8.795000076293945,,,7.21999979019165
2020-02-04 00:00:00-05:00,8.40999984741211,8.649999618530273,8.279999732971191,8.430000305175781,208900,0,0,0.015662664030542395,1.049813273412972,8.669499921798707,9.309542740459593,8.02945710313782,8.619999885559082,8.795000076293945,,,6.130000114440918
2020-02-05 00:00:00-05:00,8.5600004196167,8.649999618530273,8.350000381469727,8.609999656677246,164400,0,0,0.021352235466818525,1.0722291336230771,8.697499895095826,9.27161141135042,8.12338837884123,8.619999885559082,8.795000076293945,,,6.230000019073486
2020-02-06 00:00:00-05:00,8.640000343322754,8.649999618530273,8.5,8.5,99700,0,0,-0.012775802678684056,1.0585305457855723,8.709499883651734,9.255584220917475,8.163415546385993,8.570000171661377,8.795000076293945,,,5.909999847412109
2020-02-07 00:00:00-05:00,8.479999542236328,8.649999618530273,8.449999809265137,8.479999542236328,239800,0,0,-0.0023529950310202663,1.0560398286711556,8.71749987602234,9.244685287281284,8.190314464763395,8.570000171661377,8.795000076293945,,,6.019999980926514
2020-02-10 00:00:00-05:00,8.479999542236328,8.890000343322754,8.449999809265137,8.779999732971191,154000,0,0,0.035377382892611386,1.0933997540399027,8.739499855041505,9.237439454814963,8.241560255268046,8.570000171661377,8.795000076293945,,,5.46999979019165
2020-02-11 00:00:00-05:00,8.8100004196167,9.149999618530272,8.789999961853027,8.949999809265137,130300,0,0,0.01936219606653866,1.1145703744567286,8.761499834060668,9.255763307774826,8.26723636034651,8.679999828338623,8.795000076293945,,,6.050000190734863
2020-02-12 00:00:00-05:00,9.0,9.06999969482422,8.789999961853027,8.9399995803833,106200,0,0,-0.0011173440329556028,1.1133250158995203,8.761499834060668,9.255763307774826,8.26723636034651,8.679999828338623,8.795000076293945,,,5.710000038146973
2020-02-13 00:00:00-05:00,8.899999618530273,9.050000190734863,8.84000015258789,8.979999542236328,88500,0,0,0.004474268873658316,1.1183063313644246,8.76299982070923,9.25974522095238,8.266254420466078,8.679999828338623,8.825000286102295,,,5.809999942779541
2020-02-14 00:00:00-05:00,9.0,9.56999969482422,8.899999618530273,9.239999771118164,250100,0,0,0.028953256362537205,1.1506849412682671,8.765499830245972,9.271335490246019,8.259664170245925,8.924999713897705,8.875,,,6.21999979019165
2020-02-18 00:00:00-05:00,9.140000343322754,9.600000381469728,9.0,9.210000038146973,220500,0,0,-0.003246724427955372,1.1469489843605711,8.767999839782714,9.28212659857154,8.253873080993888,8.975000381469727,8.900000095367432,,,6.230000019073486
2020-02-19 00:00:00-05:00,9.239999771118164,9.279999732971191,8.989999771118164,9.010000228881836,142800,0,0,-0.021715505802036517,1.1220424070360493,8.77399983406067,9.296505716711943,8.251493951409396,9.025000095367432,8.90500020980835,,,7.309999942779541
2020-02-20 00:00:00-05:00,8.930000305175781,9.010000228881836,8.800000190734863,8.989999771118164,156700,0,0,-0.002219806576647998,1.1195516899216327,8.774999809265136,9.299093651306134,8.250905967224138,9.025000095367432,8.90500020980835,,,7.110000133514404
