Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2020-02-04 00:00:00-05:00,19.03429847409844,19.481072414741387,18.892746768876563,19.228933334350582,509000,0.0,0.0,0.021621615596221,0.7790322952056303,20.126459693908693,21.27766169486241,18.975257692954976,19.57396600060224,20.923132607915264,,,17.198549270629883
2020-02-05 00:00:00-05:00,19.3704853426803,19.649164317517556,18.80870126553986,19.21566200256348,422000,0.0,0.0,-0.0006901751416129587,0.7784946264809657,20.060549640655516,21.261327365338868,18.859771915972164,19.57396600060224,20.852356393268888,,,17.773603439331055
2020-02-06 00:00:00-05:00,19.24220223890224,19.525305634037625,19.069686212955947,19.25547218322754,296800,0.0,0.0,0.0020717569167665317,0.7801074781080432,19.98645601272583,21.19397541980026,18.778936605651403,19.57396600060224,20.7395561882219,,,17.55685043334961
2020-02-07 00:00:00-05:00,19.15815772983069,19.22893358335815,18.90159420615025,18.95467567443848,246400,0.0,0.0,-0.015621351994217436,0.7679211445991961,19.907717800140382,21.168140730326744,18.64729486995402,19.57396600060224,20.69974595936058,,,17.609935760498047
2020-02-10 00:00:00-05:00,18.94583003662448,19.1227688254898,18.73792523009255,18.883899688720703,297400,0.0,0.0,-0.003733959205285853,0.7650537583723863,19.827431392669677,21.133597742623554,18.5212650427158,19.56290713098182,20.153444785843703,,,18.24691772460937
2020-02-11 00:00:00-05:00,18.959099180823177,19.29970848647249,18.73792443851293,19.20681381225586,347800,0.0,0.0,0.01709997028463528,0.7781361549067026,19.764396572113036,21.06248837276519,18.46630477146088,19.308555690048802,20.153444785843703,,,18.490209579467773
2020-02-12 00:00:00-05:00,19.330674605094423,19.83937554704746,18.86178350051076,19.13603973388672,606400,0.0,0.0,-0.003684842215942119,0.7752688459533515,19.679686641693117,20.906945754417208,18.452427528969025,19.23778072519811,20.005256849766365,,,18.04785919189453
2020-02-13 00:00:00-05:00,19.060840779914123,19.41914449662656,18.928136262126756,19.1846981048584,286000,0.0,0.0,0.002542760761805596,0.7772401691546921,19.597409629821776,20.720208565585796,18.474610694057755,19.23778072519811,19.9765042783058,,,16.459823608398438
2020-02-14 00:00:00-05:00,19.24220418836477,19.97650432667645,19.02102942757897,19.724365234375,460600,0.0,0.0,0.0281300819312833,0.7991039987932981,19.563569927215575,20.625967454772788,18.501172399658362,19.35721438259469,19.9765042783058,,,17.954965591430664
2020-02-18 00:00:00-05:00,19.688976154508875,19.83052955163133,19.02987632264402,19.321826934814453,405800,0.0,0.0,-0.020408175106138016,0.7827957444579093,19.515353870391845,20.52804160050502,18.50266614027867,19.35721438259469,19.9765042783058,,,16.888904571533203
